,,Median of Age,Mean of Age,Std of Age,Median of MP,Mean of MP,Std of MP,Median of Starts,Mean of Starts,Std of Starts,Median of Min,Mean of Min,Std of Min,Median of Gls,Mean of Gls,Std of Gls,Median of Ast,Mean of Ast,Std of Ast,Median of CrdY,Mean of CrdY,Std of CrdY,Median of CrdR,Mean of CrdR,Std of CrdR,Median of xG,Mean of xG,Std of xG,Median of xAG,Mean of xAG,Std of xAG,Median of progression_prgc,Mean of progression_prgc,Std of progression_prgc,Median of progression_prgp,Mean of progression_prgp,Std of progression_prgp,Median of progression_prgr,Mean of progression_prgr,Std of progression_prgr,Median of per90_gls,Mean of per90_gls,Std of per90_gls,Median of per90_ast,Mean of per90_ast,Std of per90_ast,Median of per90_xg,Mean of per90_xg,Std of per90_xg,Median of per90_xag,Mean of per90_xag,Std of per90_xag,Median of goalkeeping_performance_ga90,Mean of goalkeeping_performance_ga90,Std of goalkeeping_performance_ga90,Median of goalkeeping_performance_savepct,Mean of goalkeeping_performance_savepct,Std of goalkeeping_performance_savepct,Median of goalkeeping_performance_cspct,Mean of goalkeeping_performance_cspct,Std of goalkeeping_performance_cspct,Median of goalkeeping_penalties_savepct,Mean of goalkeeping_penalties_savepct,Std of goalkeeping_penalties_savepct,Median of shooting_standard_sotpct,Mean of shooting_standard_sotpct,Std of shooting_standard_sotpct,Median of shooting_standard_sot_per90,Mean of shooting_standard_sot_per90,Std of shooting_standard_sot_per90,Median of shooting_standard_g_sh,Mean of shooting_standard_g_sh,Std of shooting_standard_g_sh,Median of shooting_standard_dist,Mean of shooting_standard_dist,Std of shooting_standard_dist,Median of passing_total_cmp,Mean of passing_total_cmp,Std of passing_total_cmp,Median of passing_total_cmppct,Mean of passing_total_cmppct,Std of passing_total_cmppct,Median of passing_total_totdist,Mean of passing_total_totdist,Std of passing_total_totdist,Median of passing_short_cmppct,Mean of passing_short_cmppct,Std of passing_short_cmppct,Median of passing_medium_cmppct,Mean of passing_medium_cmppct,Std of passing_medium_cmppct,Median of passing_long_cmppct,Mean of passing_long_cmppct,Std of passing_long_cmppct,Median of passing_expected_kp,Mean of passing_expected_kp,Std of passing_expected_kp,Median of passing_expected_1_3,Mean of passing_expected_1_3,Std of passing_expected_1_3,Median of passing_expected_ppa,Mean of passing_expected_ppa,Std of passing_expected_ppa,Median of passing_expected_crspa,Mean of passing_expected_crspa,Std of passing_expected_crspa,Median of passing_expected_prgp,Mean of passing_expected_prgp,Std of passing_expected_prgp,Median of creation_sca_sca,Mean of creation_sca_sca,Std of creation_sca_sca,Median of creation_sca_sca90,Mean of creation_sca_sca90,Std of creation_sca_sca90,Median of creation_gca_gca,Mean of creation_gca_gca,Std of creation_gca_gca,Median of creation_gca_gca90,Mean of creation_gca_gca90,Std of creation_gca_gca90,Median of defense_tackles_tkl,Mean of defense_tackles_tkl,Std of defense_tackles_tkl,Median of defense_tackles_tklw,Mean of defense_tackles_tklw,Std of defense_tackles_tklw,Median of defense_challenges_att,Mean of defense_challenges_att,Std of defense_challenges_att,Median of defense_challenges_lost,Mean of defense_challenges_lost,Std of defense_challenges_lost,Median of defense_blocks_blocks,Mean of defense_blocks_blocks,Std of defense_blocks_blocks,Median of defense_blocks_sh,Mean of defense_blocks_sh,Std of defense_blocks_sh,Median of defense_blocks_pass,Mean of defense_blocks_pass,Std of defense_blocks_pass,Median of defense_blocks_int,Mean of defense_blocks_int,Std of defense_blocks_int,Median of possession_touches_touches,Mean of possession_touches_touches,Std of possession_touches_touches,Median of possession_touches_def_pen,Mean of possession_touches_def_pen,Std of possession_touches_def_pen,Median of possession_touches_def_3rd,Mean of possession_touches_def_3rd,Std of possession_touches_def_3rd,Median of possession_touches_mid_3rd,Mean of possession_touches_mid_3rd,Std of possession_touches_mid_3rd,Median of possession_touches_att_3rd,Mean of possession_touches_att_3rd,Std of possession_touches_att_3rd,Median of possession_touches_att_pen,Mean of possession_touches_att_pen,Std of possession_touches_att_pen,Median of possession_takeons_att,Mean of possession_takeons_att,Std of possession_takeons_att,Median of possession_takeons_succpct,Mean of possession_takeons_succpct,Std of possession_takeons_succpct,Median of possession_takeons_tkldpct,Mean of possession_takeons_tkldpct,Std of possession_takeons_tkldpct,Median of possession_carries_carries,Mean of possession_carries_carries,Std of possession_carries_carries,Median of possession_carries_prgdist,Mean of possession_carries_prgdist,Std of possession_carries_prgdist,Median of possession_carries_prgc,Mean of possession_carries_prgc,Std of possession_carries_prgc,Median of possession_carries_1_3,Mean of possession_carries_1_3,Std of possession_carries_1_3,Median of possession_carries_cpa,Mean of possession_carries_cpa,Std of possession_carries_cpa,Median of possession_carries_mis,Mean of possession_carries_mis,Std of possession_carries_mis,Median of possession_carries_dis,Mean of possession_carries_dis,Std of possession_carries_dis,Median of possession_receiving_rec,Mean of possession_receiving_rec,Std of possession_receiving_rec,Median of possession_receiving_prgr,Mean of possession_receiving_prgr,Std of possession_receiving_prgr,Median of misc_performance_fls,Mean of misc_performance_fls,Std of misc_performance_fls,Median of misc_performance_fld,Mean of misc_performance_fld,Std of misc_performance_fld,Median of misc_performance_off,Mean of misc_performance_off,Std of misc_performance_off,Median of misc_performance_crs,Mean of misc_performance_crs,Std of misc_performance_crs,Median of misc_performance_recov,Mean of misc_performance_recov,Std of misc_performance_recov,Median of misc_aerial_won,Mean of misc_aerial_won,Std of misc_aerial_won,Median of misc_aerial_lost,Mean of misc_aerial_lost,Std of misc_aerial_lost,Median of misc_aerial_wonpct,Mean of misc_aerial_wonpct,Std of misc_aerial_wonpct
0,all,26.56,26.89,4.23,22.0,20.67,9.64,14.0,15.16,10.64,1335.0,1359.86,899.64,1.0,1.99,3.48,1.0,1.47,2.2,2.0,2.91,2.57,0.0,0.09,0.31,0.9,2.01,3.05,0.8,1.48,1.85,14.0,25.83,30.2,37.0,50.95,49.34,24.0,50.34,63.22,0.03,0.12,0.19,0.04,0.09,0.13,0.07,0.13,0.16,0.07,0.1,0.1,1.47,1.64,0.65,68.3,67.17,8.31,18.8,23.92,22.68,0.0,18.53,29.76,30.35,29.67,19.92,0.23,0.4,0.47,0.06,0.08,0.1,16.35,16.8,5.1,441.0,546.79,453.27,80.0,79.25,8.25,7149.0,9393.99,8201.89,89.8,88.69,6.78,85.7,83.89,10.23,53.85,54.21,15.83,8.0,13.51,15.17,28.0,42.75,44.34,6.0,11.51,14.2,1.0,2.73,4.24,37.0,50.95,49.34,21.0,31.62,31.82,1.83,2.09,1.43,2.0,3.45,4.18,0.16,0.21,0.23,17.0,24.34,22.29,10.0,14.53,13.69,17.0,22.18,20.02,8.0,10.89,10.2,11.0,15.08,13.54,2.0,5.11,7.24,8.0,9.97,9.23,7.0,11.07,11.6,722.0,826.67,613.78,31.0,93.18,172.93,156.0,273.4,303.03,271.0,351.47,310.92,139.0,209.96,207.28,20.0,34.19,40.56,14.0,25.17,30.78,44.8,46.68,22.6,43.8,42.22,21.76,390.0,463.73,354.37,1012.0,1287.92,1079.4,14.0,25.83,30.2,12.0,17.41,18.08,2.0,8.04,14.02,12.0,18.72,19.06,7.0,13.05,14.6,480.0,541.2,415.17,24.0,50.34,63.22,12.0,15.25,13.61,10.0,14.79,14.44,1.0,2.36,3.92,9.0,24.24,35.39,44.0,57.46,45.83,10.0,17.9,20.9,13.0,17.88,18.17,50.0,48.9,21.74
1,Arsenal,26.86,26.48,3.82,22.5,22.59,7.93,16.0,17.0,10.16,1427.5,1519.45,881.68,2.0,2.77,2.81,1.5,2.27,2.68,2.5,2.91,1.97,0.0,0.23,0.53,1.65,2.5,2.59,0.9,1.89,2.13,23.0,34.32,31.38,55.5,75.18,60.82,51.0,74.18,75.04,0.1,0.16,0.17,0.11,0.14,0.15,0.1,0.15,0.14,0.1,0.12,0.12,0.85,0.85,,75.5,75.5,,35.3,35.3,,0.0,0.0,,31.7,27.89,16.69,0.22,0.41,0.41,0.14,0.14,0.13,15.0,14.67,5.0,459.5,700.41,551.78,82.8,82.35,6.3,7044.5,11484.32,9779.36,91.95,90.87,4.76,86.0,84.87,8.05,53.15,55.55,9.68,10.0,17.14,17.31,39.5,56.95,52.28,9.0,17.86,17.82,1.5,3.0,3.63,55.5,75.18,60.82,24.0,38.82,33.09,2.24,2.46,1.43,3.0,4.91,5.49,0.25,0.3,0.31,19.0,24.09,20.33,12.0,14.27,12.33,20.0,20.77,14.17,10.5,10.32,7.17,10.0,13.18,10.84,1.5,4.32,6.79,7.5,8.86,7.27,6.0,9.27,8.65,738.5,983.77,662.53,24.0,73.59,163.87,120.5,246.18,327.21,291.0,427.95,385.05,223.5,316.91,232.45,37.0,52.5,48.6,22.5,29.73,28.69,43.45,48.88,22.22,35.05,36.92,17.63,406.5,578.18,402.19,1282.5,1631.95,1113.23,23.0,34.32,31.38,19.0,21.36,17.96,4.5,11.77,14.58,15.0,19.32,15.29,13.5,15.68,13.36,528.5,693.68,483.47,51.0,74.18,75.04,14.0,16.64,11.06,17.0,16.32,11.71,1.5,3.41,3.72,11.0,31.82,42.05,48.0,58.05,40.03,10.5,19.5,19.82,15.5,18.95,17.76,51.15,48.0,19.48
2,Aston Villa,27.62,27.12,4.04,20.0,18.86,9.97,9.5,13.36,11.32,969.0,1200.0,913.12,1.0,1.86,3.29,0.0,1.46,2.36,2.0,2.43,2.25,0.0,0.07,0.26,0.8,1.91,2.94,0.45,1.4,1.95,16.0,23.07,22.74,33.5,42.75,46.34,20.0,42.32,50.76,0.04,0.18,0.29,0.0,0.09,0.12,0.08,0.19,0.25,0.06,0.09,0.1,1.7,1.7,0.42,60.75,60.75,7.28,57.6,57.6,59.96,50.0,50.0,,27.8,29.4,22.13,0.2,0.47,0.67,0.06,0.08,0.08,16.3,16.92,4.5,396.0,476.64,413.24,82.1,81.22,7.16,5626.0,8150.39,7692.95,91.5,90.03,5.56,86.2,86.47,7.56,53.4,54.12,15.29,6.0,11.75,14.54,22.0,36.71,45.31,7.5,10.25,12.38,0.0,1.82,3.67,33.5,42.75,46.34,20.0,27.93,28.95,1.78,2.12,1.41,2.0,3.36,3.75,0.18,0.24,0.22,10.5,20.96,20.08,6.0,12.11,12.24,10.5,17.68,18.44,5.0,7.71,8.06,9.5,10.64,8.9,2.5,3.5,4.13,5.5,7.14,6.22,5.0,7.96,8.28,647.0,701.07,555.68,29.5,84.57,186.69,132.0,236.21,290.88,237.5,299.04,290.77,113.5,172.75,165.81,19.0,30.96,37.2,17.0,23.43,28.68,47.4,50.68,25.08,41.2,38.79,22.99,383.5,396.43,308.04,1052.0,1149.86,912.87,16.0,23.07,22.74,12.5,14.54,12.82,2.0,7.0,10.41,8.5,16.39,21.28,7.5,12.32,15.04,472.0,467.93,374.38,20.0,42.32,50.76,8.5,13.32,13.42,8.5,15.82,17.05,1.0,1.79,2.73,4.5,19.5,33.71,37.5,45.21,35.42,8.0,12.04,11.71,9.5,13.46,13.59,47.2,40.32,23.97
3,Bournemouth,25.98,26.45,3.84,25.0,21.61,9.84,17.0,16.22,11.33,1580.0,1451.74,975.76,1.0,2.26,3.49,1.0,1.65,1.99,3.0,3.78,3.15,0.0,0.09,0.29,1.1,2.64,3.5,1.1,1.77,1.83,19.0,29.26,34.02,41.0,57.43,51.58,31.0,56.61,70.38,0.03,0.13,0.18,0.05,0.1,0.12,0.08,0.18,0.2,0.1,0.13,0.15,1.0,1.09,0.15,80.0,80.0,4.6,20.0,15.3,13.57,0.0,0.0,,30.35,24.98,17.03,0.15,0.54,0.65,0.06,0.06,0.05,16.45,15.83,4.37,436.0,488.91,394.52,74.2,73.82,6.58,7088.0,8854.96,7609.61,88.0,86.8,7.18,78.2,81.37,10.78,46.9,46.67,17.73,11.0,17.43,16.26,37.0,47.35,47.01,7.0,12.96,13.66,2.0,3.91,5.26,41.0,57.43,51.58,28.0,40.13,35.79,2.35,2.6,1.87,2.0,3.87,4.03,0.22,0.23,0.21,21.0,27.48,23.13,10.0,15.91,14.41,25.0,24.87,21.02,13.0,13.13,10.49,15.0,18.48,16.53,3.0,5.57,7.08,8.0,12.91,12.58,10.0,14.0,15.3,783.0,829.09,608.27,44.0,87.48,146.08,159.0,249.65,270.36,298.0,354.17,312.72,127.0,235.52,234.76,19.0,39.13,47.78,16.0,26.43,31.65,41.25,43.01,19.27,45.1,43.08,19.19,479.0,445.13,332.01,1080.0,1396.87,1258.75,19.0,29.26,34.02,15.0,20.35,19.82,1.0,9.0,15.89,17.0,22.96,21.07,8.0,13.83,17.0,413.0,484.0,357.84,31.0,56.61,70.38,15.0,19.83,17.74,10.0,15.3,13.57,0.0,2.74,5.07,10.0,32.3,40.42,56.0,71.43,56.26,20.0,22.78,20.83,22.0,24.22,20.54,46.1,50.2,18.12
4,Brentford,24.82,26.18,3.91,26.0,22.24,10.84,21.0,17.29,12.63,1913.0,1547.67,1066.35,0.0,2.67,5.11,1.0,1.76,2.45,2.0,2.29,1.59,0.0,0.05,0.22,0.8,2.42,3.83,1.2,1.74,2.2,12.0,24.52,31.19,51.0,55.9,52.12,27.0,55.29,73.31,0.0,0.11,0.19,0.06,0.08,0.1,0.06,0.12,0.16,0.08,0.09,0.08,1.38,1.38,0.21,61.65,61.65,16.48,57.8,57.8,59.68,0.0,0.0,,37.5,32.6,16.51,0.17,0.31,0.37,0.06,0.08,0.09,14.9,15.85,4.32,471.0,553.86,426.45,77.2,76.54,7.97,7521.0,10141.9,8967.73,87.1,86.5,7.89,79.9,81.97,10.02,55.1,55.42,13.44,8.0,13.62,16.74,41.0,45.76,38.3,7.0,13.52,17.89,2.0,3.71,5.04,51.0,55.9,52.12,21.0,32.29,34.53,1.72,1.88,1.18,2.0,4.62,5.7,0.2,0.27,0.25,24.0,25.95,21.29,16.0,15.57,12.48,24.0,24.29,19.59,10.0,11.29,9.93,17.0,19.95,18.33,4.0,8.19,12.13,12.0,11.76,9.75,8.0,12.24,11.91,762.0,889.05,639.21,47.0,138.52,274.65,216.0,348.86,401.44,325.0,329.71,263.55,158.0,218.67,222.93,24.0,40.81,44.3,12.0,25.71,32.42,45.2,47.73,19.31,42.9,43.31,16.16,382.0,470.71,345.34,1164.0,1298.62,1089.3,12.0,24.52,31.19,9.0,15.19,18.25,1.0,8.67,16.67,14.0,21.29,23.82,8.0,12.05,13.0,475.0,545.62,392.17,27.0,55.29,73.31,11.0,12.43,10.11,10.0,14.19,13.56,1.0,2.95,4.48,13.0,27.9,42.82,50.0,67.33,53.94,12.0,26.0,29.82,14.0,23.1,23.08,55.1,54.04,19.43
5,Brighton,24.5,26.02,5.17,20.0,18.96,9.76,9.0,13.36,9.87,895.5,1198.46,866.18,1.0,1.93,2.96,1.0,1.29,1.58,2.0,2.61,2.54,0.0,0.11,0.31,0.75,1.88,2.64,0.95,1.29,1.4,16.5,25.86,29.88,38.5,48.93,49.26,26.5,48.64,62.02,0.04,0.12,0.15,0.04,0.09,0.13,0.09,0.13,0.12,0.09,0.1,0.08,1.1,1.1,0.84,69.15,69.15,8.27,34.4,34.4,22.06,0.0,0.0,,29.3,30.51,21.82,0.31,0.46,0.65,0.06,0.08,0.09,16.5,17.56,3.91,333.0,506.04,475.94,80.7,79.45,8.26,4728.0,8611.86,9051.48,90.9,89.52,6.17,82.1,81.34,10.68,53.0,54.33,15.78,9.0,11.71,9.99,21.5,37.93,47.64,7.5,10.79,10.39,1.0,2.82,3.77,38.5,48.93,49.26,23.5,29.61,23.48,2.81,2.5,1.23,3.0,3.46,2.92,0.29,0.3,0.28,16.5,22.11,19.24,10.0,13.46,11.71,17.5,22.46,18.49,9.0,11.61,9.12,12.0,14.0,12.06,2.0,3.89,5.33,9.0,10.11,9.75,8.5,10.0,9.56,630.0,757.39,610.24,22.5,83.04,190.6,118.0,241.46,318.67,227.0,328.79,319.41,147.0,195.61,177.31,17.0,34.0,41.84,12.0,26.21,31.65,41.5,44.62,21.6,47.9,47.1,20.72,367.5,445.29,381.58,1026.0,1340.14,1411.7,16.5,25.86,29.88,15.5,18.32,18.44,2.5,8.29,14.77,10.0,18.36,18.91,7.0,11.14,12.03,408.0,500.29,419.45,26.5,48.64,62.02,10.5,14.07,12.25,8.0,13.36,14.5,1.0,1.43,1.79,10.0,22.18,27.22,39.0,52.11,43.58,11.5,16.71,17.76,10.5,15.0,14.4,53.8,50.17,19.87
6,Chelsea,24.3,24.18,2.38,17.5,19.15,10.88,11.5,14.38,11.4,1046.5,1291.42,995.13,1.0,2.19,3.48,1.0,1.69,2.2,2.5,3.62,3.25,0.0,0.04,0.2,0.75,2.45,3.96,1.05,1.88,2.32,11.0,30.12,38.79,33.0,56.54,61.78,11.5,55.81,74.5,0.05,0.15,0.21,0.06,0.13,0.18,0.08,0.16,0.18,0.1,0.15,0.17,1.31,1.31,0.28,74.05,74.05,3.75,22.65,22.65,8.41,10.0,10.0,14.14,33.3,29.85,21.67,0.28,0.46,0.49,0.08,0.09,0.12,15.0,15.11,4.58,492.5,636.46,575.71,84.7,84.08,6.41,7569.5,11007.27,10339.85,91.9,91.07,5.66,90.7,88.48,7.28,58.05,57.18,17.87,6.5,16.27,20.95,27.0,52.77,57.37,4.0,12.65,16.89,0.0,2.69,5.35,33.0,56.54,61.78,15.0,37.81,45.69,1.83,2.33,1.66,2.5,3.92,4.52,0.2,0.26,0.25,11.0,20.0,23.23,8.5,12.5,14.41,11.5,18.69,21.9,5.5,9.35,11.53,9.0,12.0,12.96,1.5,3.58,5.49,5.5,8.42,9.5,7.0,9.38,11.01,713.5,882.96,749.41,19.5,81.96,174.11,123.5,263.62,324.63,254.5,398.92,405.24,91.5,227.73,254.27,11.5,39.5,49.93,13.0,27.12,33.08,44.25,46.31,20.2,40.0,38.6,23.28,399.0,513.73,414.77,1010.5,1451.77,1154.3,11.0,30.12,38.79,9.5,17.0,18.87,1.0,10.92,20.25,6.0,15.96,19.09,5.5,10.62,11.77,495.5,631.23,529.27,11.5,55.81,74.5,7.0,15.08,15.84,10.5,15.46,16.59,1.0,2.12,3.87,3.0,23.46,40.13,37.5,54.0,49.52,9.0,13.96,16.4,8.5,13.69,14.6,42.1,46.82,26.26
7,Crystal Palace,27.17,27.15,3.14,29.0,23.38,10.21,18.0,17.71,12.47,1562.0,1585.9,1047.05,0.0,1.86,3.37,1.0,1.52,2.09,2.0,3.48,3.25,0.0,0.19,0.4,1.0,2.44,3.34,1.2,1.88,2.11,11.0,21.1,21.89,46.0,48.67,38.25,10.0,48.19,62.81,0.0,0.09,0.13,0.03,0.06,0.08,0.08,0.14,0.14,0.11,0.1,0.07,1.38,1.38,,66.9,66.9,,29.4,29.4,,50.0,50.0,,33.3,30.12,18.02,0.34,0.5,0.47,0.0,0.06,0.09,17.7,18.14,5.67,511.0,504.38,382.23,75.6,74.23,6.96,8122.0,9060.9,7422.37,85.3,84.42,6.45,82.0,79.97,10.58,46.7,49.84,18.5,9.0,15.62,15.76,27.0,37.81,31.63,4.0,11.43,12.01,1.0,2.81,4.07,46.0,48.67,38.25,26.0,36.29,33.82,2.06,2.2,1.5,3.0,3.52,3.31,0.16,0.18,0.17,21.0,32.62,29.19,14.0,19.14,18.12,23.0,27.95,21.55,15.0,14.05,9.84,19.0,20.48,17.7,3.0,5.9,6.77,13.0,14.57,12.77,11.0,13.67,14.07,827.0,860.86,604.16,27.0,107.71,212.6,172.0,322.71,357.73,367.0,358.14,264.31,137.0,188.24,178.24,15.0,32.57,34.79,12.0,20.33,28.56,40.95,41.49,23.87,46.6,48.24,26.48,413.0,431.52,304.65,949.0,1055.0,767.83,11.0,21.1,21.89,10.0,15.0,13.66,1.0,5.19,7.51,14.0,21.0,20.38,13.0,14.38,14.11,510.0,499.67,342.67,10.0,48.19,62.81,12.0,17.62,15.85,18.0,17.24,14.97,1.0,3.14,4.91,11.0,25.43,31.19,60.0,70.86,52.54,17.0,21.67,21.55,19.0,27.14,24.63,43.4,41.18,18.61
8,Everton,26.52,27.96,5.03,23.5,21.73,9.17,14.5,16.95,10.56,1281.0,1520.27,893.06,1.0,1.41,1.97,1.0,0.91,1.11,3.0,3.23,2.22,0.0,0.09,0.29,1.1,1.67,1.95,1.05,1.28,1.11,12.0,19.73,19.99,36.0,41.32,34.32,23.5,40.5,39.9,0.04,0.09,0.12,0.03,0.06,0.08,0.05,0.11,0.12,0.06,0.08,0.07,1.21,1.21,,71.5,71.5,,29.4,29.4,,100.0,100.0,,35.7,32.6,23.21,0.25,0.37,0.39,0.05,0.08,0.1,17.3,17.27,5.31,412.0,453.18,330.29,73.65,74.27,7.87,7161.5,8580.32,7618.26,86.2,85.37,7.59,82.7,79.83,12.29,56.35,57.19,15.18,9.0,12.09,9.94,34.5,40.14,34.02,8.0,10.55,10.15,1.5,3.64,5.33,36.0,41.32,34.32,24.5,28.68,19.44,1.79,1.88,1.11,2.0,2.36,2.06,0.1,0.16,0.15,23.5,30.05,28.11,13.5,17.59,17.0,22.0,26.64,22.04,8.0,12.95,11.08,12.5,15.95,14.2,3.0,5.77,9.31,7.5,10.18,8.41,9.5,13.55,12.72,689.5,780.27,501.72,31.0,99.5,214.04,165.5,282.91,352.74,292.0,313.73,227.48,171.0,192.05,140.18,18.5,29.14,25.32,18.0,26.45,29.46,47.2,48.04,19.68,45.0,44.5,20.29,325.5,377.32,239.77,714.0,1012.27,794.27,12.0,19.73,19.99,11.5,14.59,11.22,2.0,5.0,6.94,12.5,20.91,19.46,11.0,15.91,13.71,404.0,448.82,269.48,23.5,40.5,39.9,15.0,17.77,13.63,13.0,15.0,12.41,1.0,3.5,6.31,7.5,27.36,35.58,55.0,61.95,46.65,10.0,24.73,28.8,14.5,22.64,22.78,50.6,48.35,18.38
9,Fulham,28.81,28.8,3.35,26.0,23.77,9.21,17.0,16.95,11.18,1596.5,1523.27,935.53,0.5,2.23,3.26,1.0,1.91,2.56,2.0,3.18,2.97,0.0,0.09,0.29,1.0,2.08,2.67,0.95,1.59,1.82,22.0,32.18,35.31,51.0,63.86,48.53,38.0,62.77,70.34,0.02,0.17,0.25,0.09,0.11,0.12,0.1,0.15,0.15,0.08,0.1,0.08,1.35,1.35,,68.3,68.3,,14.7,14.7,,0.0,0.0,,30.6,29.33,18.6,0.26,0.54,0.61,0.06,0.07,0.09,15.4,16.42,4.31,643.0,661.5,493.45,81.5,80.32,7.88,10959.5,11796.55,9638.52,90.6,88.52,6.6,84.75,84.45,9.09,56.2,58.61,12.64,9.5,16.0,16.53,44.5,54.77,46.88,7.0,13.41,18.33,2.5,4.23,6.71,51.0,63.86,48.53,30.0,37.73,31.06,2.22,2.54,1.7,3.0,4.14,4.27,0.18,0.24,0.21,23.0,27.18,21.84,12.0,16.64,14.13,18.0,22.95,19.85,8.0,11.23,10.8,14.0,15.05,10.94,2.0,4.5,6.12,9.5,10.55,8.03,8.5,12.41,13.51,950.0,975.77,670.4,26.5,106.05,229.9,154.5,327.23,387.48,379.0,401.86,314.42,204.0,257.09,222.63,32.0,38.0,37.0,18.5,26.09,26.12,44.0,43.67,18.7,41.3,37.13,14.66,526.5,578.0,409.21,1213.0,1563.95,1265.63,22.0,32.18,35.31,17.5,22.64,22.97,4.5,9.18,11.16,14.5,20.5,17.77,7.5,11.36,11.5,632.5,654.82,446.82,38.0,62.77,70.34,15.0,17.18,13.34,15.0,14.68,10.75,1.0,1.77,3.19,15.0,36.82,50.4,58.0,65.91,44.02,15.0,21.82,22.34,19.0,21.77,20.12,47.75,45.81,21.4
