Player,Team,Min,Value
Aaron Ramsdale,Southampton,2340,€18.7M
Aaron Wan-Bissaka,West Ham,2794,€29.7M
Abdoulaye Doucouré,Everton,2425,€5.8M
Adam Armstrong,Southampton,1248,€15.1M
Adam Smith,Bournemouth,1409,€1.5M
Adam Wharton,Crystal Palace,1258,€49.3M
Adama Traoré,Fulham,1568,€8.2M
Alejandro Garnacho,Manchester Utd,2056,€59.2M
Alex Iwobi,Fulham,2721,€31.2M
Alexander Isak,Newcastle Utd,2487,€119.4M
Alexis Mac Allister,Liverpool,2553,€117M
Alisson,Liverpool,2148,€24.5M
Alphonse Areola,West Ham,1990,€11.6M
Amad Diallo,Manchester Utd,1594,€48.6M
Amadou Onana,Aston Villa,1348,€64.4M
Andreas Pereira,Fulham,1879,€18.9M
Andrew Robertson,Liverpool,2308,€20.6M
André,Wolves,2170,€29.4M
André Onana,Manchester Utd,2970,€34.2M
Anthony Elanga,Nott'ham Forest,2052,€45.6M
Anthony Gordon,Newcastle Utd,2200,€52.4M
Antoine Semenyo,Bournemouth,2907,€45.4M
Antonee Robinson,Fulham,2899,€42.7M
Archie Gray,Tottenham,1391,€72.5M
Arijanet Muric,Ipswich Town,1620,€10.4M
Ashley Young,Everton,1613,€1.3M
Axel Tuanzebe,Ipswich Town,1445,€4.3M
Bart Verbruggen,Brighton,2880,€32M
Ben Davies,Tottenham,1036,€5.1M
Ben Johnson,Ipswich Town,1348,€12.6M
Bernardo Silva,Manchester City,2311,€51.1M
Bernd Leno,Fulham,3060,€16M
Beto,Everton,1192,€24.4M
Bilal El Khannouss,Leicester City,1920,€40.6M
Boubacar Kamara,Aston Villa,1373,€45.2M
Boubakary Soumaré,Leicester City,1953,€15.3M
Brennan Johnson,Tottenham,2083,€67M
Bruno Fernandes,Manchester Utd,2758,€61.2M
Bruno Guimarães,Newcastle Utd,2912,€82.3M
Bryan Mbeumo,Brentford,2964,€57.6M
Bukayo Saka,Arsenal,1454,€113M
Caleb Okoli,Leicester City,1124,€16.6M
Callum Hudson-Odoi,Nott'ham Forest,2107,€25.4M
Calvin Bassey,Fulham,2804,€29.9M
Cameron Archer,Southampton,1361,€18.6M
Cameron Burgess,Ipswich Town,1361,€1.7M
Carlos Baleba,Brighton,2313,€51M
Carlos Soler,West Ham,1347,€23.3M
Casemiro,Manchester Utd,1335,€11.6M
Chris Richards,Crystal Palace,1562,€15.7M
Chris Wood,Nott'ham Forest,2509,€7.9M
Christian Eriksen,Manchester Utd,994,€3.9M
Christian Nørgaard,Brentford,2369,€10.8M
Christopher Nkunku,Chelsea,921,€51.3M
Cody Gakpo,Liverpool,1627,€67.7M
Cole Palmer,Chelsea,2831,€117.4M
Conor Coady,Leicester City,1354,€2.3M
Craig Dawson,Wolves,971,€1.5M
Cristian Romero,Tottenham,1416,€60M
Curtis Jones,Liverpool,1438,€61.6M
Daichi Kamada,Crystal Palace,1338,€15.1M
Dan Burn,Newcastle Utd,2970,€8.4M
Dango Ouattara,Bournemouth,1932,€28.2M
Daniel Muñoz,Crystal Palace,2868,€28.9M
Danny Welbeck,Brighton,1852,€5.9M
Dara O'Shea,Ipswich Town,2762,€21.8M
Darwin Núñez,Liverpool,1018,€59.7M
David Raya,Arsenal,3060,€28.7M
Dean Henderson,Crystal Palace,3060,€22.7M
Dean Huijsen,Bournemouth,2144,€56.3M
Declan Rice,Arsenal,2572,€116.4M
Dejan Kulusevski,Tottenham,2281,€60.3M
Destiny Udogie,Tottenham,1834,€59.4M
Diogo Dalot,Manchester Utd,2788,€37.5M
Diogo Jota,Liverpool,1097,€58.6M
