Player,Team,Min,Value
Aaron Ramsdale,Southampton,2430,€18.7M
Aaron Wan-Bissaka,West Ham,2884,€26.9M
Abdoulaye Doucouré,Everton,2425,€5.8M
Adam Armstrong,Southampton,1248,€15.1M
Adam Smith,Bournemouth,1409,€1.5M
Adam Wharton,Crystal Palace,1318,€48.9M
Adama Traoré,Fulham,1592,€8M
Alejandro Garnacho,Manchester Utd,2146,€60.7M
Alex Iwobi,Fulham,2796,€30.3M
Alex Palmer,Ipswich Town,990,€1.6M
Alexander Isak,Newcastle Utd,2577,€120.3M
Alexis Mac Allister,Liverpool,2575,€106.1M
Alisson,Liverpool,2238,€24.1M
Alphonse Areola,West Ham,2080,€11.8M
Amad Diallo,Manchester Utd,1639,€48.5M
Amadou Onana,Aston Villa,1378,€62.1M
Andreas Pereira,Fulham,1879,€19M
Andrew Robertson,Liverpool,2308,€24M
André,Wolves,2249,€29.8M
André Onana,Manchester Utd,2970,€34.2M
Anthony Elanga,Nott'ham Forest,2232,€45.5M
Anthony Gordon,Newcastle Utd,2235,€49.5M
Antoine Semenyo,Bournemouth,2933,€47.7M
Antonee Robinson,Fulham,2989,€46.4M
Archie Gray,Tottenham,1481,€58.2M
Arijanet Muric,Ipswich Town,1620,€10.1M
Ashley Young,Everton,1622,€1.3M
Axel Tuanzebe,Ipswich Town,1446,€4.2M
Bart Verbruggen,Brighton,2970,€30.7M
Ben Davies,Tottenham,1126,€5.6M
Ben Johnson,Ipswich Town,1348,€12.6M
Ben White,Arsenal,941,€58.8M
Bernardo Silva,Manchester City,2401,€50M
Bernd Leno,Fulham,3150,€13.7M
Beto,Everton,1268,€24.4M
Bilal El Khannouss,Leicester City,2003,€40.6M
Boubacar Kamara,Aston Villa,1463,€46.3M
Boubakary Soumaré,Leicester City,1960,€15.4M
Brennan Johnson,Tottenham,2083,€71.3M
Bruno Fernandes,Manchester Utd,2758,€54.8M
Bruno Guimarães,Newcastle Utd,3002,€83.2M
Bryan Mbeumo,Brentford,3144,€57.2M
Bukayo Saka,Arsenal,1539,€101.3M
Caleb Okoli,Leicester City,1124,€16.7M
Callum Hudson-Odoi,Nott'ham Forest,2152,€30.2M
Calvin Bassey,Fulham,2894,€29.9M
Cameron Archer,Southampton,1373,€18.6M
Cameron Burgess,Ipswich Town,1451,€1.7M
Carlos Baleba,Brighton,2403,€52.4M
Carlos Soler,West Ham,1358,€23.4M
Casemiro,Manchester Utd,1335,€11.6M
Chris Richards,Crystal Palace,1652,€15.7M
Chris Wood,Nott'ham Forest,2689,€7.8M
Christian Eriksen,Manchester Utd,1028,€4.2M
Christian Nørgaard,Brentford,2549,€14.4M
Christopher Nkunku,Chelsea,921,€51.7M
Cody Gakpo,Liverpool,1717,€67.5M
Cole Palmer,Chelsea,2921,€115.4M
Conor Coady,Leicester City,1444,€2.2M
Craig Dawson,Wolves,971,€1.5M
Cristian Romero,Tottenham,1416,€60.1M
